"Ticker","Nome","Negócios","Última (R$)","Variação"
"POMO3","Marcopolo","960.100","7,21","-0,14%"
"BRSR6","Banrisul","953.700","11,70","-1,52%"
"CPFE3","CPFL Energia","947.000","37,89","+0,03%"
"PLPL3","Plano&Plano","930.000","14,95","+1,15%"
"TUPY3","Tupy","920.400","12,57","+1,62%"
"GUAR3","Guararapes","901.600","8,81","-0,45%"
"ARML3","Armac","874.700","3,05","-3,17%"
"MILS3","Mills","864.700","11,76","-0,76%"
"USIM3","Usiminas","843.000","4,30","-2,49%"
"SAPR4","Sanepar","832.900","6,83","+0,15%"
"VVEO3","Viveo","828.900","1,08","-6,90%"
"IRBR3","IRB Brasil RE","828.000","47,18","-0,44%"
"SOJA3","Boa Safra Sementes","809.600","9,93","-1,10%"
"LAVV3","Lavvi Incorporadora","800.500","13,42","-0,67%"
"MDNE3","Moura Dubeux","766.400","25,98","-1,44%"
"ITUB3","Itaú Unibanco","686.400","33,07","-0,06%"
"ELET6","Eletrobras","674.900","54,86","-0,35%"
"AZEV3","Azevedo & Travassos","671.900","0,39","+0,00%"
"ALUP11","Alupar","661.300","31,20","+1,50%"
"KLBN3","Klabin","658.300","3,53","+0,86%"
"VULC3","Vulcabras","642.400","19,31","+0,31%"
"BRBI11","BR Partners","600.100","17,50","-0,85%"
"SYNE3","SYN","577.000","4,88","+0,00%"
"RANI3","Irani","575.400","8,73","-2,02%"
"FESA4","Ferbasa","573.700","6,21","-2,36%"
"GFSA3","Gafisa","559.500","6,87","-0,43%"
"MELK3","Melnick","509.600","3,87","+0,52%"
"PRNR3","Priner","504.700","15,20","-2,19%"
"JSLG3","JSL","494.100","5,47","+0,37%"
"HBRE3","HBR Realty","476.900","4,25","-4,49%"
"ENJU3","Enjoei","445.100","0,89","-1,11%"
"DESK3","Desktop","421.600","12,99","+2,28%"
"OPCT3","OceanPact","405.000","7,50","+0,40%"
"VTRU3","VITRUBREPCOM","394.800","10,76","+1,51%"
"BMGB4","Banco BMG","379.100","3,85","-1,03%"
"ABCB4","Banco ABC Brasil","377.500","21,60","-0,78%"
"LAND3","Terra Santa","369.100","8,40","-1,18%"
"MATD3","Mater Dei","363.600","4,29","+3,87%"
"BMOB3","Bemobi","361.700","21,21","-0,14%"
"LEVE3","Mahle Metal Leve","345.900","26,96","+0,00%"
"INEP3","Inepar","333.500","1,30","-7,14%"
"SEQL3","Sequoia Logística","333.000","1,03","-1,90%"
"PMAM3","Paranapanema","332.100","1,15","-1,71%"
"UNIP6","Unipar","328.900","78,36","+0,20%"
"WIZC3","Wiz Soluções","326.300","8,14","+0,25%"
"PINE4","Banco Pine","319.800","8,52","-0,93%"
"MDIA3","M. Dias Branco","295.900","26,37","-0,26%"
"FRAS3","Fras-le","287.400","22,07","-0,18%"
"LOGG3","LOG CP","282.400","21,39","-1,43%"
"CSED3","Cruzeiro do Sul Educacional","259.200","5,00","-0,99%"
"VLID3","Valid","256.700","19,98","-1,33%"
"TASA4","Taurus","251.100","4,61","-1,07%"
"ALLD3","Allied","239.600","8,46","-1,63%"
"ORVR3","Orizon","239.100","53,10","-0,08%"
"PNVL3","Dimed","234.700","9,17","-1,29%"
"ESPA3","Espaçolaser","218.900","1,06","-1,85%"
"ALPK3","Estapar","197.600","3,35","-6,16%"
"FIQE3","Unifique","196.000","4,30","-1,60%"
"TRIS3","Trisul","180.500","7,00","-0,85%"
"TAEE4","Taesa","176.100","12,07","+0,00%"
"LPSB3","Lopes","170.500","1,25","+0,81%"
"AGRO3","BrasilAgro","167.200","20,23","+0,40%"
"BRST3","Brisanet","150.100","2,82","-1,74%"
"BLAU3","Blau Farmacêutica","149.600","12,76","-1,39%"
"MEAL3","IMC Alimentação","149.100","1,28","+0,79%"
"TGMA3","Tegma","148.200","33,88","-1,20%"
"PTBL3","Portobello","116.800","3,80","-1,04%"
"SAPR3","Sanepar","116.000","7,40","-0,27%"
"VITT3","Vittia","110.900","4,63","-3,34%"
"AMAR3","Lojas Marisa","110.700","1,15","-1,71%"
"ROMI3","Indústrias ROMI","107.000","7,78","+0,00%"
"ITSA3","Itaúsa","102.500","10,95","-0,82%"
"PFRM3","Profarma","94.100","7,26","-0,55%"
"DEXP3","Dexxos","93.900","7,78","-2,87%"
"UCAS3","Unicasa","92.300","1,23","-6,11%"
"RNEW4","Renova Energia","90.100","0,95","-1,04%"
"CGRA4","Grazziotin","88.100","30,56","-0,94%"
"AMOB3","Automob","86.700","11,89","-2,22%"
"TECN3","Technos","85.700","6,52","+1,09%"
"VIVR3","Viver","77.800","0,80","-3,61%"
"LUPA3","Lupatech","72.300","0,97","-1,02%"
"TOKY3","TOKY3","72.300","0,89","-1,11%"
"ZAMP3","Zamp","67.500","3,50","+0,00%"
"TRAD3","Traders Club","66.400","4,71","-3,68%"
"CMIG3","Cemig","62.900","14,01","+0,36%"
"TCSA3","Tecnisa","62.100","1,31","-4,38%"
"TAEE3","Taesa","55.500","11,93","-0,33%"
"AERI3","Aeris Energy","54.600","3,88","-3,72%"
"CSUD3","CSU Cardsystem","46.900","17,58","+3,41%"
"ETER3","Eternit","41.900","4,29","-1,15%"
"GOAU3","Metalúrgica Gerdau","40.400","9,94","-0,80%"
"BRKM3","Braskem","40.400","7,21","-4,38%"
"EUCA4","Eucatex","35.900","16,45","-0,36%"
"SANB3","Banco Santander","35.700","13,25","-1,63%"
"BIOM3","Biomm","35.000","10,00","-2,91%"
